Plot,Subplot,Plant_Simple,Seeds_GF,Fruit_GF,visits_GF,ID,homo_motif,hete_motif,ME_iden,Strength,StrengthIn,StrengthOut,Degree,DegreeIn,DegreeOut,PageRank,Hub,Authority,Katz,Multiplexity,Kcore,individuals,individuals_plot,total_individuals_subplot,total_individuals_plot,prop_individuals_sub,prop_individuals_plot,prop_indiviudals_sub,prop_indiviudals_plot
3,F2,CHFU,152,2,1,Hoverflies,2,0,0,1.14285714285714,0.142857142857143,1,2,1,1,0.0551355367725328,0,0,1.91171888623737e-5,0.333333333333333,2,5,103,505,14234,0.009900990099009901,0.007236703435677651,0.009900990099009901,3.51271603203597e-4
3,F2,LEMA,128,2,1,Bees,1,0,0,1.18849206349206,0.188492063492063,1,4,2,2,0.0619345632861735,0.779580615429257,0,0.220682177268679,0.333333333333333,4,20,539,505,14234,0.039603960396039604,0.0378697393381578,0.039603960396039604,0.001405086412814388
3,F2,LEMA,128,2,1,Flower_beetles,18,0,0,1.18849206349206,0.188492063492063,1,4,2,2,0.0619345632861735,0.779580615429257,0,0.220682177268679,0.333333333333333,4,20,539,505,14234,0.039603960396039604,0.0378697393381578,0.039603960396039604,0.001405086412814388
3,F2,LEMA,128,2,2,Flower_beetles,9,0,0,1.18849206349206,0.188492063492063,1,4,2,2,0.0619345632861735,0.779580615429257,0,0.220682177268679,0.333333333333333,4,20,539,505,14234,0.039603960396039604,0.0378697393381578,0.039603960396039604,0.001405086412814388
3,F2,LEMA,128,2,1,Flower_beetles,6,2,0,1.18849206349206,0.188492063492063,1,4,2,2,0.0619345632861735,0.779580615429257,0,0.220682177268679,0.333333333333333,4,20,539,505,14234,0.039603960396039604,0.0378697393381578,0.039603960396039604,0.001405086412814388
3,F3,CHFU,0,0,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,103,496,14234,0,0.007236703435677651,0.0020161290322580645,7.02543206407194e-5
3,F3,LEMA,64,1,1,Flower_beetles,9,0,0,1.18253968253968,0.182539682539683,1,4,2,2,0.0470580005665016,0.509508586386865,0,0.170209222357483,0.333333333333333,4,15,539,496,14234,0.030303030303030304,0.0378697393381578,0.03024193548387097,0.001053814809610791
3,F3,LEMA,64,1,1,Small_beetles,0,0,0,1.18253968253968,0.182539682539683,1,4,2,2,0.0470580005665016,0.509508586386865,0,0.170209222357483,0.333333333333333,4,15,539,496,14234,0.030303030303030304,0.0378697393381578,0.03024193548387097,0.001053814809610791
3,F4,CHFU,304,4,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,103,464,14234,0.004319654427645789,0.007236703435677651,0.004310344827586207,1.405086412814388e-4
3,F4,LEMA,192,3,2,Flower_beetles,18,0,0,1.21428571428571,0.214285714285714,1,4,2,2,0.056938780465526,0.738720432156573,0,0.214126598605365,0.333333333333333,4,30,539,464,14234,0.06479481641468683,0.0378697393381578,0.06465517241379311,0.002107629619221582
3,F4,LEMA,192,3,1,Small_beetles,4,0,0,1.21428571428571,0.214285714285714,1,4,2,2,0.056938780465526,0.738720432156573,0,0.214126598605365,0.333333333333333,4,30,539,464,14234,0.06479481641468683,0.0378697393381578,0.06465517241379311,0.002107629619221582
3,F4,LEMA,192,3,1,Flower_beetles,6,2,0,1.21428571428571,0.214285714285714,1,4,2,2,0.056938780465526,0.738720432156573,0,0.214126598605365,0.333333333333333,4,30,539,464,14234,0.06479481641468683,0.0378697393381578,0.06465517241379311,0.002107629619221582
3,F5,CHFU,152,2,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,103,484,14234,0.008264462809917356,0.007236703435677651,0.008264462809917356,2.810172825628776e-4
3,F5,LEMA,128,2,1,Flower_beetles,5,0,0,1.29960317460317,0.299603174603175,1,6,3,3,0.0622767097210791,0.499852930700532,0,0.211755878878747,0.333333333333333,4,40,539,484,14234,0.08264462809917356,0.0378697393381578,0.08264462809917356,0.002810172825628776
