Plot,L,m
95_200_intralinks20_interlinks27_individuals,4.363709999999999,6
95_200_intralinks20_interlinks50_individuals,4.237240000000001,9
96_200_intralinks20_interlinks100_individuals,4.0463700000000005,22
96_200_intralinks20_interlinks27_individuals,4.780260000000001,8
96_200_intralinks20_interlinks50_individuals,4.36574,10
97_200_intralinks20_interlinks100_individuals,4.07951,19
97_200_intralinks20_interlinks27_individuals,4.275,7
97_200_intralinks20_interlinks50_individuals,4.1218699999999995,7
98_200_intralinks20_interlinks100_individuals,4.10328,16
98_200_intralinks20_interlinks27_individuals,4.448230000000001,8
98_200_intralinks20_interlinks50_individuals,4.53943,10
99_200_intralinks20_interlinks100_individuals,3.9626799999999998,15
99_200_intralinks20_interlinks27_individuals,4.20317,5
99_200_intralinks20_interlinks50_individuals,4.87075,12
