"","Bees","Butterflies","Flower_beetles","House_flies","Hoverflies","Humbleflies","Small_beetles","Small_flies"
"D6 PUPA 18",0.0333333333333333,0.133333333333333,0.0333333333333333,0,0,0.1,0.0333333333333333,0
"D6 PUPA 19",0.0333333333333333,0.133333333333333,0.0333333333333333,0,0,0.1,0.0333333333333333,0
"D6 PUPA 2",0.0333333333333333,0.133333333333333,0.0333333333333333,0,0,0.1,0.0333333333333333,0
"D6 PUPA 20",0.0333333333333333,0.133333333333333,0.0333333333333333,0,0,0.1,0.0333333333333333,0
"D6 PUPA 21",0.0333333333333333,0.133333333333333,0.0333333333333333,0,0,0.1,0.0333333333333333,0
"D6 PUPA 22",0.0333333333333333,0.133333333333333,0.0333333333333333,0,0,0.1,0.0333333333333333,0
"D6 PUPA 23",0.0333333333333333,0.133333333333333,0.0333333333333333,0,0,0.1,0.0333333333333333,0
"D6 PUPA 24",0.0333333333333333,0.133333333333333,0.0333333333333333,0,0,0.1,0.0333333333333333,0
"D6 PUPA 25",0.0333333333333333,0.133333333333333,0.0333333333333333,0,0,0.1,0.0333333333333333,0
"D6 PUPA 26",0.0333333333333333,0.133333333333333,0.0333333333333333,0,0,0.1,0.0333333333333333,0
"D6 PUPA 27",0.0333333333333333,0.133333333333333,0.0333333333333333,0,0,0.1,0.0333333333333333,0
"D6 PUPA 28",0.0333333333333333,0.133333333333333,0.0333333333333333,0,0,0.1,0.0333333333333333,0
"D6 PUPA 29",0.0333333333333333,0.133333333333333,0.0333333333333333,0,0,0.1,0.0333333333333333,0
"D6 PUPA 3",0.0333333333333333,0.133333333333333,0.0333333333333333,0,0,0.1,0.0333333333333333,0
"D6 PUPA 30",0.0333333333333333,0.133333333333333,0.0333333333333333,0,0,0.1,0.0333333333333333,0
"D6 PUPA 4",0.0333333333333333,0.133333333333333,0.0333333333333333,0,0,0.1,0.0333333333333333,0
"D6 PUPA 5",0.0333333333333333,0.133333333333333,0.0333333333333333,0,0,0.1,0.0333333333333333,0
"D6 PUPA 6",0.0333333333333333,0.133333333333333,0.0333333333333333,0,0,0.1,0.0333333333333333,0
"D6 PUPA 7",0.0333333333333333,0.133333333333333,0.0333333333333333,0,0,0.1,0.0333333333333333,0
"D6 PUPA 8",0.0333333333333333,0.133333333333333,0.0333333333333333,0,0,0.1,0.0333333333333333,0
"D6 PUPA 9",0.0333333333333333,0.133333333333333,0.0333333333333333,0,0,0.1,0.0333333333333333,0
"E1 PUPA 1",0.5,0,0,0,1,0.5,0,0
"E1 PUPA 2",0.5,0,0,0,1,0.5,0,0
"E2 PUPA 1",0,0,0,0,0,0.08,0,0
