year,plot,subplot,focal,fruit,seed
2019,3,C3,LEMA,1,48
2019,3,C3,MESU,380,760
2019,3,C3,PAIN,1,1
2019,3,C4,CHFU,1,84
2019,3,C4,HOMA,1,12
2019,3,C4,LEMA,1,48
2019,3,C4,MESU,180,360
2019,3,C4,PAIN,1,1
2019,3,C5,CHFU,2,168
2019,3,C5,HOMA,1,12
2019,3,C5,LEMA,1,48
2019,3,C5,MESU,150,300
2019,3,C5,PAIN,1,1
2019,3,C6,CHFU,2,168
2019,3,C6,HOMA,1,12
2019,3,C6,LEMA,1,48
2019,3,C6,MESU,100,200
2019,3,C6,PAIN,1,1
2019,3,C6,SASO,10,20
2019,3,D1,CHFU,0,0
2019,3,D1,HOMA,1,12
2019,3,D1,LEMA,1,48
2019,3,D1,PAIN,1,1
2019,3,D2,CHFU,1,84
2019,3,D2,HOMA,1,12
2019,3,D2,LEMA,1,48
2019,3,D2,PAIN,1,1
2019,3,D3,CHFU,0,0
2019,3,D3,HOMA,1,12
2019,3,D3,LEMA,1,48
2019,3,D3,MESU,280,560
2019,3,D3,PAIN,1,1
2019,3,D4,CHFU,1,84
2019,3,D4,HOMA,1,12
2019,3,D4,LEMA,1,48
2019,3,D4,PAIN,1,1
2019,3,D5,CHFU,1,84
2019,3,D5,HOMA,1,12
2019,3,D5,LEMA,1,48
2019,3,D5,PAIN,1,1
2019,3,D5,POMA,1,86
2019,3,D5,SASO,25,50
2019,3,D6,CHFU,0,0
2019,3,D6,HOMA,1,12
2019,3,D6,LEMA,1,48
2019,3,D6,PAIN,1,1
2019,3,D6,SASO,2,4
2019,3,E1,CHFU,1,84
2019,3,E1,HOMA,1,12
2019,3,E1,LEMA,1,48
2019,3,E1,PAIN,1,1
2019,3,E2,CHFU,1,84
2019,3,E2,HOMA,1,12
2019,3,E2,LEMA,1,48
2019,3,E2,PAIN,1,1
2019,3,E3,CHFU,1,84
2019,3,E3,HOMA,1,12
2019,3,E3,LEMA,2,96
2019,3,E3,PAIN,1,1
2019,3,E4,CHFU,1,84
2019,3,E4,HOMA,1,12
2019,3,E4,LEMA,2,96
2019,3,E4,PAIN,1,1
2019,3,E5,CHFU,0,0
2019,3,E5,HOMA,1,12
2019,3,E5,LEMA,2,96
2019,3,E5,PAIN,1,1
2019,3,E5,POMA,1,86
2019,3,E6,CHFU,0,0
2019,3,E6,HOMA,1,12
2019,3,E6,LEMA,2,96
