node_to,layer_to,module_from,Plot,k.is,ks.bar,SD.ks,z,k.i,sum_aux_c,c
A5 LEMA,LEMA,1,8,0.0392156862745098,1.0726939237233355,3.396586123640746,-0.3042696989944294,0.0392156862745098,0,1
A5 SCLA,SCLA,6,8,0.5,1.0875,0.810253304014656,-0.7250818936362808,0.5,0,1
A6 CHFU,CHFU,2,8,1.0491803278688525,0.9578045126035608,4.228403763591607,0.02161000234936814,1.0491803278688525,0,1
A6 LEMA,LEMA,1,8,0.0196078431372549,1.0726939237233355,3.396586123640746,-0.3100425080513768,0.0196078431372549,0,1
A6 SCLA,SCLA,3,8,0.5,1.371080830933772,1.94423801140882,-0.44803199290532114,0.5,0,1
Anastoechus_sp LEMA,LEMA,6,8,0.5,1.0875,0.810253304014656,-0.7250818936362808,0.5,0,1
Andrena_humilis LEMA,LEMA,6,8,2,1.0875,0.810253304014656,1.1261910262861385,2.0769230769230766,0.0013717421124828536,0.9986282578875172
Andrena_humilis SCLA,SCLA,6,8,2.3125,1.0875,0.810253304014656,1.5118728846033094,2.3125,0,1
Andrena_sp CHFU,CHFU,8,8,0.5,1.0746212121212122,0.6509031877518561,-0.882805957835123,0.75,0.1111111111111111,0.8888888888888888
Andrena_sp LEMA,LEMA,8,8,2.0606060606060606,1.0746212121212122,0.6509031877518561,1.5147949296274388,2.0606060606060606,0,1
Andrena_sp PUPA,PUPA,8,8,1.3125,1.0746212121212122,0.6509031877518561,0.36545955274914765,1.8125,0.07609988109393578,0.9239001189060643
Anthicidae LEMA,LEMA,5,8,1.7272727272727273,1.2599431818181819,0.3446254192306334,1.3560507129678523,1.7272727272727273,0,1
Anthicidae PUPA,PUPA,5,8,1.3125,1.2599431818181819,0.3446254192306334,0.15250418352525982,1.3125,0,1
B1 CHFU,CHFU,2,8,0.03278688524590164,0.9578045126035608,4.228403763591607,-0.21876284268840707,0.03278688524590164,0,1
B2 CHFU,CHFU,2,8,0.01639344262295082,0.9578045126035608,4.228403763591607,-0.2226398240599841,0.01639344262295082,0,1
B2 LEMA,LEMA,1,8,0.058823529411764705,1.0726939237233355,3.396586123640746,-0.2984968899374821,0.1764705882352941,0.44444444444444453,0.5555555555555555
B2 PUPA,PUPA,9,8,0.5,1,1.6852299546352716,-0.2966954145484634,0.5,0,1
B3 LEMA,LEMA,3,8,0.11764705882352941,1.371080830933772,1.94423801140882,-0.6446915268372869,0.11764705882352941,0,1
B4 CHFU,CHFU,2,8,0.01639344262295082,0.9578045126035608,4.228403763591607,-0.2226398240599841,0.01639344262295082,0,1
B4 LEMA,LEMA,1,8,0.0784313725490196,1.0726939237233355,3.396586123640746,-0.2927240808805348,0.0784313725490196,0,1
B4 MESU,MESU,4,8,1,1.2605555555555554,1.3942683321723854,-0.1868761912920939,1,0,1
B4 PUPA,PUPA,8,8,0.5,1.0746212121212122,0.6509031877518561,-0.882805957835123,0.5,0,1
B5 CHFU,CHFU,2,8,0.01639344262295082,0.9578045126035608,4.228403763591607,-0.2226398240599841,0.01639344262295082,0,1
B5 LEMA,LEMA,16,8,1,0.6666666666666666,0.4714045207910317,0.7071067811865476,1.0392156862745099,0.0014239943040227838,0.9985760056959773
B5 PUPA,PUPA,1,8,1,1.0726939237233355,3.396586123640746,-0.02140205520401056,1.5,0.1111111111111111,0.8888888888888888
B6 CHFU,CHFU,2,8,0.01639344262295082,0.9578045126035608,4.228403763591607,-0.2226398240599841,0.01639344262295082,0,1
B6 LEMA,LEMA,1,8,0.13725490196078433,1.0726939237233355,3.396586123640746,-0.27540565370969283,0.19607843137254904,0.08999999999999996,0.91
B6 PUPA,PUPA,9,8,0.1,1,1.6852299546352716,-0.53405174618723406,0.1,0,1
Brassicogethes_sp LEMA,LEMA,1,8,15.272619047619047,1.0726939237233355,3.396586123640746,4.180646274523149,18.248143523143522,0.004389705986010014,0.99561029401399
Brassicogethes_sp PUPA,PUPA,1,8,1.0432692307692308,1.0726939237233355,3.396586123640746,-0.008663019833150824,1.0432692307692308,0,1
Brassicogethes_sp SCLA,SCLA,1,8,2.4125,1.0726939237233355,3.396586123640746,0.3944566772358323,2.4125,0,1
C1 CHFU,CHFU,2,8,0.06557377049180328,0.9578045126035608,4.228403763591607,-0.21100887994525305,0.06557377049180328,0,1
C1 LEMA,LEMA,1,8,0.0392156862745098,1.0726939237233355,3.396586123640746,-0.3042696989944294,0.09803921568627451,0.36,0.64
