Line,Plot,Subplot,Plant,ID,type_seed_per_fruit,Seeds_GF,visits_GF,Visits_tot,homo_motif,hete_motif,Real_PR_Multi,Real_PR_Layer,StrengthIn,StrengthOut,DegreeIn,DegreeOut,Delta,Ratio
1,2,F4,LEMA,Psilothrix_viridicoerulea,Individual,63,2,2,23,0,0.01584730514835763,0.014869316311884416,2.290497737556561,1,5,5,9.779888364732144e-4,1.0657722800403102
1,2,F5,LEMA,Brassicogethes_sp,Individual,88,2,2,15,0,0.004213372625621043,0.003953812683883334,0.038712921065862244,1,2,2,2.59559941737709e-4,1.065648011802819
1,2,F5,LEMA,Psilothrix_viridicoerulea,Individual,88,1,1,4,0,0.004213372625621043,0.003953812683883334,0.038712921065862244,1,2,2,2.59559941737709e-4,1.065648011802819
1,2,F6,LEMA,Brassicogethes_sp,Individual,77,1,1,33,0,0.004260524283587628,0.0040328466184297775,0.0988436400201106,1,3,3,2.276776651578506e-4,1.0564558205901962
1,2,F6,LEMA,Musca_sp,Individual,77,1,1,6,0,0.004260524283587628,0.0040328466184297775,0.0988436400201106,1,3,3,2.276776651578506e-4,1.0564558205901962
1,2,F6,LEMA,Psilothrix_viridicoerulea,Individual,77,1,1,19,0,0.004260524283587628,0.0040328466184297775,0.0988436400201106,1,3,3,2.276776651578506e-4,1.0564558205901962
1,3,A3,LEMA,Psilothrix_viridicoerulea,Individual,36,3,3,12,0,0.00416446865692154,0.00544049898057196,0.06382978723404255,1,1,1,-0.0012760303236504199,0.7654571155684197
1,3,A3,PUPA,Lasioglossum_malachurum,Individual,0,1,1,7,7,0.001980251853306084,0.0034476878755342042,0.043478260869565216,1,1,1,-0.0014674360222281203,0.5743709769548824
1,3,A4,CHMI,Musca_sp,Individual,57,1,1,1,0,0.004960140482775865,0.005869932432432434,0.3333333333333333,1,1,1,-9.097919496565687e-4,0.84500810526714
1,3,A4,PUPA,Andrena_sp,Individual,43,2,2,0,3,0.004162069395614804,0.010416666666666666,1,1,1,1,-0.006254597271051862,0.3995586619790212
1,3,A6,LEMA,Brassicogethes_sp,Individual,54,3,3,29,0,0.005638328750843767,0.00767656372627742,0.09094028826355524,1,2,2,-0.002038234975433653,0.7344860215962735
1,3,A6,LEMA,Psilothrix_viridicoerulea,Individual,54,2,2,29,0,0.005638328750843767,0.00767656372627742,0.09094028826355524,1,2,2,-0.002038234975433653,0.7344860215962735
1,3,B1,LEMA,Psilothrix_viridicoerulea,Individual,36,1,1,17,0,0.0024298228856405135,0.0028551663268573195,0.02127659574468085,1,1,1,-4.2534344121680605e-4,0.851026738016702
1,3,B1,PUPA,Bombilus_major,Individual,30,1,1,0,0,0.006337304829664667,0.009703423782760377,1.3333333333333333,1,2,2,-0.0033661189530957095,0.6530998719157112
1,3,B1,PUPA,Pieris_brassicae,Individual,30,1,1,2,0,0.006337304829664667,0.009703423782760377,1.3333333333333333,1,2,2,-0.0033661189530957095,0.6530998719157112
1,3,B3,LEMA,Brassicogethes_sp,Individual,52.5,1,1,12,0,0.0032102172121614286,0.004031410017711581,0.03740562800274537,1,2,2,-8.211928055501527e-4,0.7963013432168081
1,3,B3,LEMA,Psilothrix_viridicoerulea,Individual,52.5,1,1,12,0,0.0032102172121614286,0.004031410017711581,0.03740562800274537,1,2,2,-8.211928055501527e-4,0.7963013432168081
1,3,B4,LEMA,Brassicogethes_sp,Individual,85,3,3,29,0,0.00390368297956274,0.00509123107256278,0.04838709677419355,1,1,1,-0.0011875480930000405,0.7667463770403447
1,3,B4,PUPA,Lasioglossum_malachurum,Individual,6,2,2,7,7,0.002398003706612168,0.005332875751068409,0.08695652173913043,1,1,1,-0.0029348720444562406,0.4496642746892693
1,3,B5,LEMA,Andrena_sp,Individual,59.333333333333336,1,1,1,2,0.008701770517886504,0.009391163771096202,0.8417818740399385,0.9999999999999999,4,4,-6.89393253209698e-4,0.9265912862331835
1,3,B5,LEMA,Brassicogethes_sp,Individual,59.333333333333336,2,2,29,0,0.008701770517886504,0.009391163771096202,0.8417818740399385,0.9999999999999999,4,4,-6.89393253209698e-4,0.9265912862331835
