Line,ID,Plot,Subplot,Plant_Simple,Visits_tot,homo_motif,hete_motif,Week
2,Dilophus_sp.,6,B4,LEMA,2,15,0,12
2,Eupeodes_corollae,6,B4,LEMA,1,0,0,12
2,Meligethes_sp.,6,B4,LEMA,1,6,0,12
2,Sphaerophoria_scripta,6,B4,LEMA,1,2,0,12
2,Dilophus_sp.,6,B5,LEMA,1,15,0,12
2,Cantharidae,6,C1,LEMA,1,0,0,12
2,Coleoptera,6,C1,LEMA,1,2,0,12
2,Dilophus_sp.,6,C1,LEMA,2,15,0,12
2,Dilophus_sp.,6,C4,LEMA,2,15,0,12
2,Sphaerophoria_scripta,6,C6,LEMA,1,2,0,12
2,Dilophus_sp.,6,D1,LEMA,2,15,0,12
2,Meligethes_sp.,6,D3,LEMA,1,6,0,12
2,Psilothrix_viridicoerulea,6,D3,LEMA,1,6,0,12
2,Dilophus_sp.,6,D4,LEMA,1,15,0,12
2,Coleoptera,6,D5,LEMA,1,2,0,12
2,Dilophus_sp.,6,D5,LEMA,1,15,0,12
2,Coleoptera,6,E1,LEMA,1,2,0,12
2,Meligethes_sp.,6,E1,LEMA,2,6,0,12
2,Sphaerophoria_scripta,6,E2,LEMA,1,2,0,12
2,Dilophus_sp.,6,F3,LEMA,1,15,0,12
2,Dilophus_sp.,6,F4,LEMA,1,15,0,12
3,Odontomyia_sp.,7,A5,ME,2,2,7,12
3,Dilophus_sp.,7,A6,LEMA,1,5,9,12
3,Odontomyia_sp.,7,B3,ME,1,2,7,12
3,Odontomyia_sp.,7,B5,ME,1,2,7,12
3,Dilophus_sp.,7,B6,CHFU,1,7,7,12
3,Dilophus_sp.,7,C1,LEMA,2,5,9,12
3,Dilophus_sp.,7,C2,CHFU,1,7,7,12
3,Musca_sp.,7,C2,CHFU,1,1,0,12
3,Odontomyia_sp.,7,C4,LEMA,1,4,5,12
3,Odontomyia_sp.,7,C6,LEMA,1,4,5,12
3,Dilophus_sp.,7,D2,CHFU,1,7,7,12
3,Musca_sp.,7,D2,CHFU,1,1,0,12
3,Dilophus_sp.,7,D2,LEMA,1,5,9,12
3,Dilophus_sp.,7,D2,ME,1,0,14,12
3,Melanostoma_sp.,7,D4,LEMA,1,1,0,12
3,Odontomyia_sp.,7,D5,LEMA,3,4,5,12
3,Dilophus_sp.,7,E1,CHFU,1,7,7,12
3,Psilothrix_viridicoerulea,7,E1,LEMA,2,8,0,12
3,Dilophus_sp.,7,E2,CHFU,1,7,7,12
3,Psilothrix_viridicoerulea,7,E2,LEMA,2,8,0,12
3,Odontomyia_sp.,7,E6,CHFU,1,1,8,12
3,Odontomyia_sp.,7,E6,LEMA,6,4,5,12
3,Scaeva_sp.,7,F2,CHFU,1,0,0,12
3,Dilophus_sp.,7,F2,LEMA,1,5,9,12
3,Diptera,8,A2,CHFU,4,7,0,12
3,Diptera,8,A3,CHFU,1,7,0,12
3,Diptera,8,A4,CHFU,1,7,0,12
3,Diptera,8,A5,CHFU,1,7,0,12
3,Diptera,8,A6,CHFU,1,7,0,12
3,Diptera,8,B2,CHFU,4,7,0,12
3,Meligethes_sp.,8,C2,LEMA,1,2,0,12
3,Andrena_cinerea,8,C3,CHFU,1,1,1,12
